DATAFLOW,LAST UPDATE,freq,mot_nrg,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2018,603,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2019,983,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2020,1293,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2021,1783,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2022,2803,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2023,4364,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2014,6825,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2015,9983,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2016,13725,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2017,21863,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2018,44595,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2019,106249,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2020,173815,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2021,245116,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2022,330139,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,NL,2023,443024,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,PL,2014,153,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,PL,2015,219,s
